name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-24T04:00:00,57,57,52.9,86.18,0,,,0,0,,4.4,222,1011.5,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T05:00:00,56,56,52.8,88.92,0,,,0,0,,4.4,223,1012.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T06:00:00,54.1,54.1,51.7,91.79,0,,,0,0,,3.4,212,1012.6,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T07:00:00,53.6,53.6,51.6,92.84,0,,,0,0,,5.2,217,1013.3,0,9.7,16,0.1,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T08:00:00,57.8,57.8,52.9,83.74,0,,,0,0,,3.1,220,1013.5,0,9.9,55,0.2,1,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T09:00:00,63.3,63.3,55,74.33,0,,,0,0,,5.6,224,1014.1,0,9.9,247,0.9,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T10:00:00,69.4,69.4,55.8,62.12,0,,,0,0,,5.9,236,1014.6,0,9.9,433,1.6,4,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T11:00:00,73.3,73.3,55.8,54.38,0,,,0,0,,6.6,230,1014.5,0,9.9,573,2.1,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T12:00:00,75.1,75.1,53.6,47.13,0,,,0,0,,7.1,239,1014.1,0,9.9,617,2.2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T13:00:00,77.2,77.2,52.9,42.87,0,,,0,0,,9.4,244,1014,0,9.9,616,2.2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T14:00:00,78.3,78.3,51.8,39.75,0,,,0,0,,9,251,1013.3,0,9.9,490,1.8,5,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T15:00:00,79,79,51.9,38.98,0,,,0,0,,8.5,249,1013.1,0,9.9,426,1.5,4,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T16:00:00,78.1,78.1,54.6,44.33,0,,,0,0,,10.9,225,1013,0,9.9,326,1.2,3,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T17:00:00,75.9,75.9,54.9,48.24,0,,,0,0,,8.4,215,1013.1,0,9.9,177,0.6,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T18:00:00,74.1,74.1,55,51.43,0,,,0,0,,8.1,232,1013.8,0,9.9,56,0.2,1,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T19:00:00,70.2,70.2,55.8,60.23,0,,,0,0,,5.7,215,1014.2,0,9.9,8,0,0,,Clear,clear-night,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T20:00:00,69,69,55.8,62.78,0,,,0,0,,6.1,216,1014.7,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T21:00:00,67.8,67.8,55.8,65.42,0,,,0,0,,6,231,1015,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T22:00:00,65.3,65.3,55.6,70.95,0,,,0,0,,6.1,207,1015.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T23:00:00,62.6,62.6,54.9,75.98,0,,,0,0,,0,0,1015.4,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T00:00:00,62.8,62.8,54.9,75.25,0,,,0,0,,3.9,205,1015.5,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T01:00:00,61.2,61.2,54.7,79.14,0,,,0,0,,2.8,164,1015.7,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T02:00:00,59.8,59.8,53.8,80.44,0,,,0,0,,3.1,212,1016.2,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T03:00:00,56.9,56.9,53.7,88.93,0,,,0,0,,0,0,1016.4,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T04:00:00,57.2,57.2,53.4,87.17,0,,,0,0,,3.3,215,1016.5,0,9.8,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T05:00:00,54,54,51.8,92.41,0,,,0,0,,0.5,347,1017.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T06:00:00,52.2,52.2,51.8,98.51,0,,,0,0,,0.3,354,1017.9,0,8.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T07:00:00,53.1,53.1,51.1,93.16,0,,,0,0,,0.8,360,1018.8,0,9.9,13,0,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T08:00:00,57.9,57.9,54.8,89.28,0,,,0,0,,0.5,360,1019.2,0,9.9,40,0.1,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T09:00:00,64.1,64.1,55.9,74.72,0,,,0,0,,7.4,28,1019.8,0,9.9,234,0.8,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
